celular;data;horario;local;latitude;longitude;tipo_celular;modelo_celular;possui_app_picmoney;data_ultima_compra;ultimo_tipo_cupom;ultimo_valor_capturado;ultimo_tipo_loja;idade;sexo
(11) 93899-8722;22/07/2025;07:30:00;Shopping Pátio Paulista;-23.570.591.538.697.000;-46.645.549.040.891.400;Android;Samsung S21;Sim;09/07/2025;Produto;224.38;esportivo;68;Outro
(11) 91082-5306;22/07/2025;07:15:00;Ponto de ônibus Augusta;-2.355.850.815.858.850;-4.665.935.758.354.700;Android;Samsung S21;Sim;22/06/2025;Produto;463.7;móveis;16;Outro
(11) 93095-8483;22/07/2025;20:00:00;Shopping Cidade São Paulo;-23.563.371.455.580.900;-46.652.564.520.576.500;Android;Realme C35;Sim;21/07/2025;Desconto;49.86;eletrodoméstico;56;Outro
(11) 91205-6618;22/07/2025;08:45:00;Metrô Brigadeiro;-2.357.013.063.226.720;-46.644.803.447.069.800;iPhone;iPhone 11;Sim;15/07/2025;Cashback;98.22;vestuário;51;Feminino
(31) 91175-2121;22/07/2025;06:00:00;Metrô Consolação;-23.555.969.678.055.800;-4.666.169.688.149.930;Android;Samsung Galaxy A52;Sim;08/07/2025;Produto;420.18;outros;21;Masculino
(11) 95543-1804;22/07/2025;08:00:00;MASP;-2.356.146.414.507.150;-46.655.688.465.334.100;Android;Samsung Galaxy A52;Sim;22/06/2025;Desconto;28.69;móveis;33;Outro
(61) 99253-6730;22/07/2025;13:30:00;Esquina Rua da Paz;-2.356.256.972.430.110;-4.664.985.365.302.010;Android;Xiaomi Redmi Note 11;Sim;21/07/2025;Produto;138.51;mercado express;60;Feminino
(11) 92681-6977;22/07/2025;12:30:00;Esquina Av. Consolação;-23.557.592.177.432.400;-46.660.045.055.014.600;Android;Xiaomi Redmi Note 11;Sim;01/07/2025;Cashback;436.58;mercado express;69;Feminino
(11) 95568-6643;22/07/2025;11:00:00;Ponto de ônibus Augusta;-23.558.486.212.861.600;-4.665.897.085.467.300;Android;Samsung Galaxy A52;Sim;21/07/2025;Produto;328.78;vestuário;43;Outro
(71) 99899-4070;22/07/2025;09:45:00;Shopping Cidade São Paulo;-23.563.213.371.153.800;-4.665.190.735.722.190;Android;Xiaomi Redmi Note 11;Sim;13/07/2025;Desconto;306.14;móveis;65;Outro
(11) 91592-5776;22/07/2025;10:30:00;Metrô Consolação;-23.555.414.548.376.900;-4.666.165.049.641.900;Android;Xiaomi Redmi Note 11;Sim;11/07/2025;Desconto;306.6;esportivo;26;Masculino
(11) 99677-8458;22/07/2025;16:45:00;Ponto de ônibus Pamplona;-23.567.808.203.994.000;-4.664.855.823.286.060;iPhone;iPhone 13;Sim;09/07/2025;Produto;265.81;eletrodoméstico;57;Feminino
(11) 98612-5270;22/07/2025;08:00:00;Shopping Pátio Paulista;-23.570.339.496.131.100;-46.645.828.302.682.800;Android;Motorola G60;Sim;10/07/2025;Produto;182.62;farmácia;44;Feminino
(11) 92591-1373;22/07/2025;11:15:00;Ponto de ônibus Augusta;-2.355.817.907.105.230;-46.658.883.767.066.400;Android;Xiaomi Redmi Note 11;Sim;08/07/2025;Cashback;393.04;mercado express;63;Masculino
(11) 94972-1881;22/07/2025;07:30:00;Metrô Consolação;-2.355.600.517.114.890;-4.666.175.002.076.830;Android;Motorola G60;Sim;12/07/2025;Cashback;152.83;eletrodoméstico;27;Feminino
(11) 99074-5313;22/07/2025;18:45:00;Metrô Consolação;-23.556.000.092.086.100;-46.661.733.013.741.100;Android;Samsung S21;Sim;18/07/2025;Produto;209.83;restaurante;27;Masculino
(31) 99886-7969;22/07/2025;18:45:00;Metrô Consolação;-2.355.584.713.935.680;-46.661.358.181.233.000;iPhone;iPhone 14 Pro;Sim;26/06/2025;Desconto;115.97;farmácia;50;Masculino
(31) 96638-2881;22/07/2025;21:15:00;Metrô Trianon-Masp;-23.563.977.265.148.100;-46.656.570.363.743.500;Android;Samsung S21;Sim;23/06/2025;Produto;132.96;outros;28;Feminino
(11) 92932-7927;22/07/2025;09:15:00;Shopping Cidade São Paulo;-235.629.275.780.126;-4.665.238.987.215.380;Android;Xiaomi Redmi Note 11;Sim;26/06/2025;Desconto;277.84;eletrodoméstico;69;Outro
(11) 95643-8072;22/07/2025;17:45:00;Shopping Pátio Paulista;-2.357.061.616.863.920;-4.664.557.517.701.490;iPhone;iPhone 14 Pro;Sim;18/07/2025;Desconto;142.91;vestuário;61;Masculino
(11) 94691-3797;22/07/2025;20:30:00;Metrô Trianon-Masp;-2.356.356.505.262.580;-4.665.678.307.467.680;iPhone;iPhone 12;Sim;08/07/2025;Desconto;134.04;mercado express;19;Masculino
(11) 94846-3436;22/07/2025;19:00:00;Shopping Pátio Paulista;-2.357.041.222.884.040;-46.645.737.871.552.500;iPhone;iPhone 13;Sim;07/07/2025;Desconto;90.67;vestuário;69;Masculino
(11) 93348-2984;22/07/2025;13:00:00;Metrô Trianon-Masp;-23.564.183.749.855.100;-4.665.692.426.697.390;Android;Samsung S21;Sim;21/07/2025;Cashback;420.71;outros;52;Masculino
(11) 91233-4181;22/07/2025;18:30:00;Esquina Rua da Paz;-23.562.432.590.669.100;-4.664.961.113.349.480;Android;Motorola G60;Sim;26/06/2025;Desconto;311.35;farmácia;70;Outro
(41) 97560-7006;22/07/2025;08:15:00;Ponto de ônibus Augusta;-2.355.815.750.882.430;-46.658.939.835.686.300;Android;Realme C35;Sim;21/07/2025;Cashback;287.52;móveis;34;Outro
(11) 92460-1864;22/07/2025;17:30:00;Esquina Rua da Paz;-23.562.583.238.599.600;-4.664.992.360.521.270;iPhone;iPhone 11;Sim;13/07/2025;Desconto;386.43;farmácia;18;Masculino
(11) 91994-5667;22/07/2025;18:00:00;Esquina Rua da Paz;-2.356.256.497.636.730;-4.665.012.812.457.520;Android;Realme C35;Sim;08/07/2025;Cashback;20.01;móveis;33;Masculino
(11) 96910-9782;22/07/2025;19:15:00;MASP;-2.356.138.142.818.440;-4.665.562.541.557.430;iPhone;iPhone 11;Sim;23/06/2025;Cashback;463.77;esportivo;39;Outro
(11) 91485-2949;22/07/2025;13:15:00;Ponto de ônibus Augusta;-23.558.535.317.153.000;-4.665.877.874.844.620;Android;Samsung S21;Sim;11/07/2025;Desconto;123.5;eletrodoméstico;16;Feminino
(11) 96080-7877;22/07/2025;18:30:00;Esquina Av. Consolação;-2.355.756.692.721.640;-4.665.972.150.025.070;Android;Realme C35;Sim;16/07/2025;Cashback;117.59;farmácia;62;Masculino
(11) 93714-4745;22/07/2025;17:45:00;Metrô Trianon-Masp;-23.563.918.424.375.000;-4.665.645.450.886.370;iPhone;iPhone 11;Sim;25/06/2025;Desconto;57.41;esportivo;16;Feminino
(31) 96709-8133;22/07/2025;12:00:00;Esquina Rua da Paz;-23.562.429.322.603.500;-4.664.977.731.939.340;iPhone;iPhone 11;Sim;19/07/2025;Produto;345.25;vestuário;28;Outro
(11) 98452-2228;22/07/2025;08:15:00;Metrô Consolação;-2.355.589.715.602.390;-4.666.162.916.158.560;Android;Samsung Galaxy A52;Sim;15/07/2025;Desconto;163.42;vestuário;56;Masculino
(61) 99876-3455;22/07/2025;15:15:00;Shopping Cidade São Paulo;-2.356.345.461.047.990;-4.665.235.694.920.450;iPhone;iPhone 12;Sim;17/07/2025;Desconto;427.8;farmácia;36;Masculino
(11) 93944-5360;22/07/2025;15:30:00;Metrô Consolação;-2.355.594.120.967.590;-46.661.551.789.805.700;Android;Realme C35;Sim;30/06/2025;Produto;128.63;vestuário;57;Outro
(11) 91657-9964;22/07/2025;09:30:00;MASP;-23.561.216.787.271.600;-46.655.768.075.881.000;Android;Motorola G60;Sim;29/06/2025;Cashback;20.97;vestuário;25;Feminino
(11) 97521-7771;22/07/2025;08:30:00;Metrô Brigadeiro;-23.569.681.955.506.600;-4.664.497.989.105.150;iPhone;iPhone 14 Pro;Sim;18/07/2025;Produto;389.46;restaurante;36;Outro
(11) 96446-8557;22/07/2025;13:45:00;Ponto de ônibus Pamplona;-23.567.632.620.372.900;-4.664.831.752.425.910;iPhone;iPhone 14 Pro;Sim;25/06/2025;Cashback;421.84;restaurante;20;Masculino
(11) 91996-3092;22/07/2025;18:00:00;Shopping Cidade São Paulo;-23.563.402.752.606.200;-46.652.467.338.689.900;Android;Xiaomi Redmi Note 11;Sim;24/06/2025;Desconto;178.02;móveis;30;Masculino
(11) 99698-4687;22/07/2025;16:15:00;MASP;-23.561.508.085.050.300;-4.665.562.335.799.930;iPhone;iPhone 12;Sim;30/06/2025;Desconto;166.61;esportivo;62;Masculino
(11) 96091-5235;22/07/2025;07:45:00;Ponto de ônibus Augusta;-23.558.417.860.014.600;-4.665.872.101.611.790;Android;Realme C35;Sim;21/07/2025;Produto;24.45;móveis;56;Feminino
(11) 98364-4697;22/07/2025;18:45:00;Metrô Trianon-Masp;-23.564.048.256.401.300;-4.665.702.305.575.060;Android;Samsung S21;Sim;07/07/2025;Cashback;172.89;esportivo;32;Outro
(11) 93300-6588;22/07/2025;17:15:00;Shopping Pátio Paulista;-23.570.420.794.066.700;-4.664.560.799.444.300;Android;Samsung S21;Sim;29/06/2025;Desconto;146.26;restaurante;65;Masculino
(11) 97766-5645;22/07/2025;18:00:00;Metrô Consolação;-2.355.570.025.168.280;-46.661.985.432.847.200;Android;Samsung Galaxy A52;Sim;21/07/2025;Desconto;254.34;mercado express;19;Feminino
(11) 97928-2575;22/07/2025;18:00:00;Shopping Pátio Paulista;-2.357.094.431.680.410;-4.664.547.217.715.710;Android;Realme C35;Sim;20/07/2025;Cashback;218.16;vestuário;19;Feminino
(11) 96844-2608;22/07/2025;08:15:00;MASP;-23.561.156.864.926.000;-4.665.600.689.865.590;iPhone;iPhone 11;Sim;25/06/2025;Cashback;464.52;esportivo;29;Feminino
(11) 91012-1818;22/07/2025;13:15:00;Metrô Consolação;-23.555.732.341.611.400;-4.666.149.384.104.520;iPhone;iPhone 11;Sim;20/07/2025;Desconto;118.64;esportivo;21;Feminino
(41) 94172-3912;22/07/2025;07:15:00;Shopping Pátio Paulista;-23.570.216.986.845.900;-46.645.666.988.118.100;iPhone;iPhone SE;Sim;18/07/2025;Cashback;435;mercado express;29;Feminino
(11) 95151-6885;22/07/2025;08:45:00;Shopping Pátio Paulista;-23.570.401.445.197.000;-4.664.525.236.279.580;Android;Motorola G60;Sim;18/07/2025;Produto;280.5;mercado express;43;Masculino
(11) 98330-6897;22/07/2025;13:00:00;Esquina Av. Consolação;-23.557.556.089.775.100;-4.665.998.704.115.420;Android;Xiaomi Redmi Note 11;Sim;03/07/2025;Produto;187.7;eletrodoméstico;68;Masculino
(11) 98866-3293;22/07/2025;13:45:00;Ponto de ônibus Augusta;-2.355.832.491.063.320;-4.665.876.122.378.440;iPhone;iPhone 14 Pro;Sim;26/06/2025;Desconto;193.05;mercado express;42;Feminino
(11) 99201-1603;22/07/2025;17:00:00;Esquina Rua da Paz;-23.562.541.138.810.100;-4.664.990.430.482.100;Android;Samsung S21;Sim;12/07/2025;Desconto;369.18;móveis;61;Outro
(11) 98549-8878;22/07/2025;21:45:00;Shopping Cidade São Paulo;-235.627.809.063.012;-46.652.075.661.576.400;Android;Samsung Galaxy A52;Sim;16/07/2025;Produto;44.02;esportivo;67;Outro
(11) 94760-9569;22/07/2025;07:00:00;Metrô Consolação;-23.556.253.062.615.600;-46.661.538.531.131.400;Android;Realme C35;Sim;17/07/2025;Produto;473.49;eletrodoméstico;57;Outro
(11) 95516-2343;22/07/2025;06:30:00;Esquina Av. Consolação;-23.557.374.523.401.600;-4.666.011.107.213.310;Android;Realme C35;Sim;12/07/2025;Desconto;184.63;restaurante;21;Masculino
(11) 92256-9639;22/07/2025;19:45:00;Shopping Cidade São Paulo;-23.562.905.285.169.900;-46.652.631.037.255.300;Android;Motorola G60;Sim;14/07/2025;Produto;46.45;móveis;64;Masculino
(11) 97900-6310;22/07/2025;08:45:00;Esquina Rua da Paz;-23.562.845.064.281.900;-4.664.998.300.254.430;Android;Motorola G60;Sim;25/06/2025;Desconto;221.66;eletrodoméstico;33;Feminino
(11) 93030-8705;22/07/2025;08:45:00;Metrô Consolação;-23.555.907.341.443.800;-46.661.423.591.755.900;Android;Samsung Galaxy A52;Sim;27/06/2025;Cashback;98.24;outros;25;Feminino
(11) 97587-4776;22/07/2025;07:15:00;Metrô Consolação;-23.555.856.513.345.600;-46.661.346.392.471.500;Android;Xiaomi Redmi Note 11;Sim;14/07/2025;Desconto;487.88;restaurante;22;Masculino
(11) 99514-6051;22/07/2025;13:30:00;Shopping Cidade São Paulo;-23.563.553.899.931.400;-46.652.313.650.936.700;iPhone;iPhone 12;Sim;07/07/2025;Cashback;141.86;outros;35;Outro
(11) 91860-3669;22/07/2025;08:30:00;Esquina Rua da Paz;-23.562.485.461.146.900;-46.649.758.084.176.200;iPhone;iPhone 12;Sim;20/07/2025;Produto;30.95;mercado express;67;Feminino
(11) 95433-9539;22/07/2025;18:30:00;Metrô Brigadeiro;-23.570.140.216.776.800;-4.664.505.559.704.200;Android;Motorola G60;Sim;23/06/2025;Desconto;152.33;farmácia;56;Outro
(11) 94764-4165;22/07/2025;12:30:00;Metrô Trianon-Masp;-2.356.365.269.610.300;-46.656.600.458.153.500;iPhone;iPhone 12;Sim;20/07/2025;Cashback;399.15;farmácia;70;Masculino
(11) 98114-3286;22/07/2025;19:15:00;Esquina Rua da Paz;-23.562.294.308.616.800;-4.664.975.726.493.400;Android;Motorola G60;Sim;23/06/2025;Cashback;29.19;móveis;62;Outro
(11) 94110-7610;22/07/2025;08:30:00;Shopping Cidade São Paulo;-23.563.105.083.921.300;-4.665.230.772.589.490;Android;Samsung S21;Sim;06/07/2025;Desconto;459.86;outros;31;Outro
(11) 91862-7453;22/07/2025;14:15:00;Metrô Brigadeiro;-23.569.806.362.152.500;-4.664.501.069.437.690;Android;Samsung S21;Sim;24/06/2025;Desconto;282.02;esportivo;45;Masculino
(11) 97215-2774;22/07/2025;12:45:00;Ponto de ônibus Pamplona;-23.567.605.845.532.900;-46.648.291.361.899.300;iPhone;iPhone 12;Sim;27/06/2025;Produto;120.01;outros;41;Feminino
(11) 98799-5935;22/07/2025;08:45:00;Ponto de ônibus Augusta;-23.558.660.422.192.100;-4.665.856.346.154.970;Android;Xiaomi Redmi Note 11;Sim;26/06/2025;Desconto;497.6;outros;26;Outro
(11) 91307-2922;22/07/2025;08:30:00;Shopping Pátio Paulista;-2.357.056.128.317.350;-4.664.569.560.248.460;Android;Realme C35;Sim;07/07/2025;Produto;83.96;outros;68;Feminino
(11) 97336-7082;22/07/2025;16:30:00;Shopping Cidade São Paulo;-23.563.122.310.896.300;-4.665.254.396.640.420;Android;Samsung Galaxy A52;Sim;08/07/2025;Cashback;75.22;esportivo;23;Feminino
(71) 98791-1638;22/07/2025;20:30:00;Ponto de ônibus Pamplona;-23.567.481.113.794.400;-4.664.843.580.836.320;iPhone;iPhone 12;Sim;08/07/2025;Cashback;463.12;farmácia;56;Outro
(11) 93757-1282;22/07/2025;08:00:00;Metrô Consolação;-23.555.487.586.164.400;-46.661.554.645.915.500;iPhone;iPhone 12;Sim;26/06/2025;Desconto;110.4;outros;32;Masculino
(11) 96245-2974;22/07/2025;08:30:00;Esquina Av. Consolação;-2.355.755.327.059.050;-46.660.125.773.341.000;Android;Motorola G60;Sim;29/06/2025;Produto;95.25;restaurante;47;Feminino
(11) 99464-7227;22/07/2025;08:15:00;Metrô Consolação;-2.355.614.238.862.030;-4.666.160.200.047.690;iPhone;iPhone 13;Sim;25/06/2025;Desconto;358.68;outros;27;Masculino
(11) 91598-9744;22/07/2025;20:15:00;Metrô Brigadeiro;-235.700.595.253.624;-4.664.512.910.957.520;Android;Xiaomi Redmi Note 11;Sim;25/06/2025;Desconto;325.9;restaurante;62;Masculino
(11) 98755-7937;22/07/2025;08:15:00;Esquina Rua da Paz;-23.562.486.144.487.600;-4.665.001.884.447.370;Android;Realme C35;Sim;24/06/2025;Cashback;341.32;outros;48;Feminino
(11) 93136-7826;22/07/2025;17:30:00;Shopping Pátio Paulista;-23.570.668.895.279.300;-4.664.557.477.576.620;Android;Xiaomi Redmi Note 11;Sim;12/07/2025;Produto;422.48;esportivo;31;Feminino
(11) 95964-3265;22/07/2025;19:00:00;MASP;-2.356.139.022.662.670;-46.655.763.485.122.900;Android;Realme C35;Sim;12/07/2025;Cashback;234.58;eletrodoméstico;35;Outro
(11) 93908-8826;22/07/2025;17:45:00;Metrô Trianon-Masp;-23.563.938.468.578.700;-4.665.652.698.849.960;Android;Samsung Galaxy A52;Sim;23/06/2025;Desconto;139.55;móveis;67;Feminino
(11) 97810-9337;22/07/2025;08:00:00;Shopping Cidade São Paulo;-23.562.823.260.876.200;-4.665.227.728.037.070;Android;Samsung Galaxy A52;Sim;18/07/2025;Produto;41.74;vestuário;70;Feminino
(11) 94357-3441;22/07/2025;17:00:00;Ponto de ônibus Augusta;-23.558.689.213.416.800;-4.665.908.599.010.050;Android;Realme C35;Sim;26/06/2025;Produto;169.51;outros;33;Outro
(11) 97254-4083;22/07/2025;19:45:00;MASP;-23.561.494.649.320.400;-46.656.064.962.803.000;Android;Samsung Galaxy A52;Sim;30/06/2025;Cashback;27.88;mercado express;40;Masculino
(11) 98950-3565;22/07/2025;17:00:00;Metrô Brigadeiro;-23.569.831.266.670.000;-46.644.616.218.756.300;Android;Motorola G60;Sim;07/07/2025;Produto;50.62;farmácia;53;Outro
(11) 95536-4538;22/07/2025;18:00:00;Shopping Pátio Paulista;-23.570.511.273.439.000;-46.645.674.306.874.700;iPhone;iPhone 12;Sim;10/07/2025;Desconto;89.63;eletrodoméstico;38;Outro
(11) 95141-9429;22/07/2025;17:30:00;Ponto de ônibus Pamplona;-2.356.747.084.506.620;-4.664.865.378.645.840;Android;Samsung S21;Sim;08/07/2025;Desconto;168.64;restaurante;67;Masculino
(11) 97364-5492;22/07/2025;18:00:00;Metrô Brigadeiro;-2.356.975.417.696.560;-46.645.272.868.421.100;Android;Motorola G60;Sim;13/07/2025;Produto;262.04;restaurante;46;Feminino
(11) 92585-3707;22/07/2025;07:30:00;Ponto de ônibus Augusta;-23.558.234.554.902;-46.659.255.075.066.700;Android;Xiaomi Redmi Note 11;Sim;21/07/2025;Produto;452.25;mercado express;37;Masculino
(11) 98635-8744;22/07/2025;17:30:00;Metrô Consolação;-23.555.831.890.098.700;-46.661.248.454.809.100;Android;Xiaomi Redmi Note 11;Sim;06/07/2025;Cashback;11.17;mercado express;22;Outro
(11) 96335-8315;22/07/2025;12:15:00;Ponto de ônibus Pamplona;-23.567.374.446.104.200;-4.664.850.824.842.120;iPhone;iPhone 12;Sim;14/07/2025;Desconto;108.51;outros;27;Masculino
(11) 96154-5032;22/07/2025;18:15:00;Esquina Av. Consolação;-23.557.204.023.346.400;-4.665.996.357.466.660;Android;Motorola G60;Sim;03/07/2025;Desconto;166.72;restaurante;20;Feminino
(11) 93991-7025;22/07/2025;09:15:00;Metrô Consolação;-2.355.572.520.072.310;-4.666.140.957.563.280;iPhone;iPhone SE;Sim;27/06/2025;Produto;450.5;restaurante;49;Feminino
(11) 95262-6217;22/07/2025;14:00:00;Esquina Av. Consolação;-23.557.635.499.546.000;-4.665.979.626.116.290;Android;Samsung S21;Sim;24/06/2025;Desconto;246.45;móveis;62;Outro
(61) 94174-4160;22/07/2025;14:15:00;Esquina Rua da Paz;-2.356.218.282.745.970;-4.664.978.667.780.900;iPhone;iPhone SE;Sim;14/07/2025;Desconto;29.6;vestuário;22;Feminino
(41) 95699-9307;22/07/2025;12:30:00;Metrô Brigadeiro;-2.356.984.957.522.250;-4.664.444.177.250.600;iPhone;iPhone 13;Sim;17/07/2025;Produto;468.65;eletrodoméstico;44;Outro
(11) 98832-8794;22/07/2025;10:15:00;Ponto de ônibus Augusta;-23.558.412.786.310.600;-46.658.883.239.376.300;Android;Xiaomi Redmi Note 11;Sim;18/07/2025;Cashback;75.16;farmácia;59;Outro
(11) 96517-6701;22/07/2025;10:30:00;Metrô Consolação;-23.555.909.290.083.500;-4.666.145.399.380.760;Android;Xiaomi Redmi Note 11;Sim;17/07/2025;Produto;220.07;outros;58;Feminino
(11) 92744-5978;22/07/2025;10:00:00;Metrô Brigadeiro;-23.570.135.664.644.700;-4.664.481.121.221.780;iPhone;iPhone 12;Sim;17/07/2025;Desconto;286.39;vestuário;53;Outro
(11) 95314-4286;22/07/2025;10:45:00;Shopping Cidade São Paulo;-2.356.318.849.705.000;-4.665.232.302.813.090;Android;Samsung Galaxy A52;Sim;29/06/2025;Produto;320.55;outros;25;Feminino
(11) 97792-4781;22/07/2025;12:30:00;Esquina Av. Consolação;-2.355.794.884.080.830;-4.665.981.991.590.960;Android;Motorola G60;Sim;06/07/2025;Cashback;176.97;outros;50;Outro
(11) 96667-2624;22/07/2025;20:15:00;Esquina Av. Consolação;-2.355.745.047.470.250;-4.666.009.343.554.640;Android;Realme C35;Sim;28/06/2025;Produto;446.57;vestuário;46;Outro
(11) 95706-5855;22/07/2025;17:00:00;MASP;-2.356.159.948.763.190;-46.655.724.683.772.800;Android;Samsung Galaxy A52;Sim;13/07/2025;Desconto;259.11;vestuário;58;Masculino
(71) 93851-9206;22/07/2025;19:45:00;Shopping Pátio Paulista;-23.570.479.363.444.500;-46.645.649.963.314.400;Android;Xiaomi Redmi Note 11;Sim;21/07/2025;Produto;12.04;mercado express;68;Masculino
(11) 99291-9833;22/07/2025;12:30:00;Metrô Brigadeiro;-23.569.789.351.979.900;-4.664.473.582.198.000;iPhone;iPhone 12;Sim;13/07/2025;Cashback;136.89;eletrodoméstico;35;Feminino
(11) 93272-2444;22/07/2025;17:15:00;Metrô Consolação;-2.355.538.227.736.610;-4.666.157.969.140.380;Android;Motorola G60;Sim;03/07/2025;Desconto;17.82;mercado express;50;Feminino
(11) 95181-9954;22/07/2025;09:30:00;Metrô Consolação;-23.555.720.454.128.300;-466.614.248.082.449;Android;Motorola G60;Sim;07/07/2025;Desconto;326.35;vestuário;17;Outro
(61) 94082-9676;22/07/2025;08:15:00;Metrô Trianon-Masp;-2.356.370.252.461.950;-4.665.690.237.071.010;Android;Realme C35;Sim;01/07/2025;Cashback;318.08;eletrodoméstico;45;Feminino
(11) 93282-1494;22/07/2025;12:00:00;Metrô Brigadeiro;-2.356.940.163.317.690;-4.664.500.772.933.210;Android;Samsung S21;Sim;13/07/2025;Produto;123.15;outros;48;Feminino
(11) 94169-7274;22/07/2025;08:15:00;Ponto de ônibus Augusta;-23.558.447.230.100.700;-46.658.987.987.039.000;Android;Xiaomi Redmi Note 11;Sim;10/07/2025;Desconto;412;esportivo;22;Feminino
(11) 93641-4808;22/07/2025;08:15:00;Metrô Consolação;-23.555.471.437.197.200;-4.666.142.630.837.790;Android;Realme C35;Sim;06/07/2025;Desconto;486.21;móveis;21;Masculino
(11) 91213-5545;22/07/2025;20:00:00;MASP;-2.356.144.299.177.610;-4.665.610.638.367.280;iPhone;iPhone SE;Sim;16/07/2025;Cashback;108.79;farmácia;42;Masculino
(11) 96256-8509;22/07/2025;07:45:00;Shopping Cidade São Paulo;-23.563.205.579.344.400;-4.665.257.048.142.400;Android;Samsung Galaxy A52;Sim;02/07/2025;Produto;310.79;esportivo;29;Feminino
(11) 97941-4098;22/07/2025;12:45:00;Ponto de ônibus Augusta;-23.558.321.777.101.200;-46.659.135.688.529.000;iPhone;iPhone 11;Sim;10/07/2025;Desconto;240.49;vestuário;51;Masculino
(11) 96868-2529;22/07/2025;07:00:00;Ponto de ônibus Pamplona;-23.567.520.490.144.900;-4.664.826.536.709.240;Android;Samsung S21;Sim;29/06/2025;Desconto;468.21;restaurante;29;Masculino
(11) 98696-3838;22/07/2025;13:45:00;Ponto de ônibus Augusta;-2.355.865.912.763.060;-4.665.890.296.036.250;iPhone;iPhone 11;Sim;29/06/2025;Desconto;283.86;outros;41;Feminino
(11) 94782-7719;22/07/2025;20:30:00;Ponto de ônibus Pamplona;-23.567.659.063.154.800;-4.664.840.112.920.030;iPhone;iPhone 12;Sim;23/06/2025;Produto;226.82;esportivo;37;Feminino
(11) 96331-2847;22/07/2025;08:15:00;Metrô Consolação;-2.355.603.241.021.900;-4.666.137.656.600.000;Android;Motorola G60;Sim;16/07/2025;Cashback;56.86;restaurante;26;Masculino
(11) 96692-6054;22/07/2025;08:15:00;Esquina Rua da Paz;-23.562.421.762.860.800;-4.665.002.309.315.760;iPhone;iPhone 13;Sim;21/07/2025;Desconto;198.65;outros;24;Feminino
(71) 94212-6065;22/07/2025;11:15:00;Metrô Consolação;-2.355.575.739.866.060;-4.666.135.974.028.930;Android;Samsung S21;Sim;18/07/2025;Produto;458.25;mercado express;33;Feminino
(11) 96083-7324;22/07/2025;18:15:00;Ponto de ônibus Pamplona;-23.567.449.602.697;-4.664.856.329.165.000;Android;Samsung Galaxy A52;Sim;02/07/2025;Produto;304.22;móveis;19;Feminino
(11) 96361-9355;22/07/2025;16:15:00;Ponto de ônibus Pamplona;-2.356.726.363.324.910;-4.664.840.643.535.140;Android;Realme C35;Sim;24/06/2025;Desconto;376.43;farmácia;48;Masculino
(11) 97250-6928;22/07/2025;07:45:00;Metrô Consolação;-23.555.795.467.339.100;-46.661.428.329.468.800;Android;Motorola G60;Sim;07/07/2025;Cashback;45.23;outros;56;Feminino
(11) 92561-3922;22/07/2025;08:00:00;Esquina Rua da Paz;-23.562.538.215.184.700;-4.665.027.618.590.810;Android;Samsung Galaxy A52;Sim;29/06/2025;Cashback;273.73;farmácia;36;Masculino
(11) 94623-6717;22/07/2025;08:15:00;Shopping Cidade São Paulo;-2.356.302.959.289.230;-4.665.204.982.320.630;iPhone;iPhone 14 Pro;Sim;22/06/2025;Produto;179.42;mercado express;57;Masculino
(11) 98521-1041;22/07/2025;13:00:00;Ponto de ônibus Pamplona;-23.567.533.916.447.200;-46.648.435.413.090.300;iPhone;iPhone 11;Sim;09/07/2025;Produto;191.27;outros;46;Outro
(41) 92858-4944;22/07/2025;09:15:00;Metrô Brigadeiro;-23.569.649.828.255.200;-46.644.981.323.584.700;Android;Samsung Galaxy A52;Sim;17/07/2025;Desconto;66.63;móveis;56;Masculino
(11) 99035-5055;22/07/2025;07:30:00;Ponto de ônibus Pamplona;-2.356.775.265.303.440;-4.664.855.091.395.980;Android;Realme C35;Sim;19/07/2025;Cashback;71.64;mercado express;69;Outro
(11) 91631-1068;22/07/2025;13:45:00;Ponto de ônibus Augusta;-2.355.853.509.880.080;-4.665.912.096.347.200;Android;Realme C35;Sim;12/07/2025;Cashback;95.63;outros;25;Masculino
(11) 91307-7400;22/07/2025;15:45:00;Metrô Trianon-Masp;-23.563.558.479.860.500;-4.665.640.968.996.270;Android;Motorola G60;Sim;03/07/2025;Desconto;72.43;farmácia;50;Masculino
(11) 95148-7629;22/07/2025;18:00:00;Shopping Cidade São Paulo;-23.563.117.038.463.200;-46.652.217.468.246.400;iPhone;iPhone 11;Sim;25/06/2025;Desconto;48.21;farmácia;56;Feminino
(71) 97636-8047;22/07/2025;08:45:00;Ponto de ônibus Pamplona;-2.356.739.661.300.520;-4.664.837.508.683.200;Android;Motorola G60;Sim;12/07/2025;Cashback;276.38;eletrodoméstico;69;Masculino
(11) 93141-2118;22/07/2025;12:00:00;MASP;-235.618.111.396.556;-4.665.571.428.411.540;Android;Motorola G60;Sim;23/06/2025;Cashback;462.95;farmácia;17;Outro
(11) 94662-2338;22/07/2025;17:30:00;Shopping Pátio Paulista;-23.570.206.485.405.900;-4.664.548.753.410.060;Android;Motorola G60;Sim;11/07/2025;Cashback;425.72;mercado express;57;Masculino
(11) 92769-5080;22/07/2025;13:15:00;Metrô Consolação;-23.555.616.191.468.200;-46.661.813.974.849.400;Android;Xiaomi Redmi Note 11;Sim;23/06/2025;Cashback;14.31;esportivo;64;Feminino
