celular;data;horario;local;latitude;longitude;tipo_celular;modelo_celular;possui_app_picmoney;data_ultima_compra;ultimo_tipo_cupom;ultimo_valor_capturado;ultimo_tipo_loja;idade;sexo;;�nicos
(11) 99459-7602;22/07/2025;17:45:00;Shopping Pátio Paulista;-23.570.507.403.344.000;-4.664.577.127.253.570;iPhone;iPhone SE;Não;;;;;22;Feminino;;
(11) 93078-9790;22/07/2025;08:30:00;Ponto de Ônibus Pamplona;-23.567.387.248.528.100;-4.664.882.926.539.030;Android;Motorola G60;Sim;25/06/2025;Produto;178.44;restaurante;49;Feminino;;
(11) 95624-4187;22/07/2025;12:45:00;Ponto de Ônibus Pamplona;-2.356.763.437.639.680;-4.664.827.904.872.360;iPhone;iPhone 13;Sim;19/07/2025;Desconto;363.38;eletrodoméstico;19;Outro;;
(11) 95383-9339;22/07/2025;12:45:00;Metrô Trianon-Masp;-2.356.416.341.924.460;-4.665.654.200.478.120;Android;Xiaomi Redmi Note 11;Sim;05/07/2025;Cashback;201.88;farmácia;35;Feminino;;
(11) 93993-4761;22/07/2025;16:30:00;Ponto de Ônibus Augusta;-23.558.572.611.794;-4.665.888.996.648.290;Android;Xiaomi Redmi Note 11;Sim;24/06/2025;Cashback;472.34;mercado express;35;Feminino;;
(11) 94764-3852;22/07/2025;19:15:00;Ponto de Ônibus Pamplona;-23.567.808.018.453.100;-46.648.245.640.225.200;Android;Xiaomi Redmi Note 11;Sim;27/06/2025;Desconto;235.11;eletrodoméstico;29;Feminino;;
(11) 95568-8108;22/07/2025;17:30:00;Esquina Rua da Paz;-23.562.723.191.055.000;-4.665.027.236.720.010;Android;Samsung S21;Não;;;;;60;Masculino;;
(11) 93871-7179;22/07/2025;06:30:00;Metrô Trianon-Masp;-23.563.821.387.785.000;-4.665.667.056.381.970;Android;Xiaomi Redmi Note 11;Sim;25/06/2025;Desconto;250.71;móveis;50;Feminino;;
(11) 95404-6309;22/07/2025;18:30:00;Metrô Consolação;-23.555.832.249.497.700;-4.666.130.447.079.380;Android;Motorola G60;Não;;;;;64;Feminino;;
(31) 96017-6002;22/07/2025;08:30:00;Metrô Consolação;-23.555.624.783.671.600;-46.661.707.900.181.900;Android;Realme C35;Sim;09/07/2025;Cashback;213.57;restaurante;35;Feminino;;
(11) 93952-2493;22/07/2025;13:00:00;MASP;-23.561.440.877.126.100;-46.655.666.217.730.700;iPhone;iPhone 12;Não;;;;;43;Feminino;;
(11) 95902-7595;22/07/2025;19:00:00;Metrô Brigadeiro;-23.570.030.715.161.500;-4.664.471.030.874.180;Android;Xiaomi Redmi Note 11;Sim;04/07/2025;Produto;244.56;móveis;18;Outro;;
(11) 92723-4534;22/07/2025;18:15:00;Metrô Consolação;-23.555.859.671.844.400;-466.617.922.979.042;iPhone;iPhone SE;Sim;18/07/2025;Desconto;308.95;eletrodoméstico;58;Masculino;;
(11) 97193-8790;22/07/2025;13:00:00;Metrô Brigadeiro;-23.569.620.617.343.400;-4.664.485.207.886.740;Android;Motorola G60;Sim;27/06/2025;Cashback;257.42;móveis;34;Feminino;;
(11) 98741-5039;22/07/2025;06:15:00;Metrô Consolação;-23.556.126.318.700.600;-4.666.163.936.501.050;Android;Realme C35;Sim;17/07/2025;Cashback;230.68;farmácia;70;Masculino;;
(11) 93297-3960;22/07/2025;19:30:00;Esquina Av. Consolação;-23.557.721.039.705.200;-466.598.403.323.125;iPhone;iPhone SE;Sim;24/06/2025;Cashback;306.69;farmácia;55;Feminino;;
(11) 95607-4437;22/07/2025;17:45:00;Shopping Pátio Paulista;-2.357.020.507.728.660;-46.645.543.456.202.700;Android;Samsung Galaxy A52;Não;;;;;53;Outro;;
(21) 98251-2608;22/07/2025;10:30:00;Metrô Brigadeiro;-23.569.989.933.533.300;-4.664.482.101.182.850;iPhone;iPhone 11;Sim;28/06/2025;Desconto;328.98;restaurante;35;Masculino;;
(11) 92374-7856;22/07/2025;16:45:00;MASP;-2.356.142.407.099.010;-4.665.589.575.697;Android;Samsung Galaxy A52;Não;;;;;22;Outro;;
(11) 94298-1064;22/07/2025;09:15:00;Ponto de Ônibus Augusta;-23.558.597.058.941.900;-4.665.897.906.305.490;Android;Samsung Galaxy A52;Não;;;;;39;Outro;;
(11) 91151-2858;22/07/2025;13:30:00;Shopping Cidade São Paulo;-2.356.317.119.499.290;-4.665.278.383.948.030;iPhone;iPhone 11;Sim;13/07/2025;Desconto;278.79;outros;61;Outro;;
(11) 96819-3801;22/07/2025;17:00:00;Metrô Consolação;-2.355.576.582.688.270;-4.666.164.552.342.560;Android;Samsung Galaxy A52;Sim;07/07/2025;Cashback;406.58;outros;19;Masculino;;
(21) 93980-8907;22/07/2025;13:45:00;Ponto de Ônibus Pamplona;-23.567.430.636.212.200;-4.664.890.134.643.350;Android;Samsung Galaxy A52;Sim;11/07/2025;Cashback;394.12;móveis;56;Outro;;
(11) 98461-3068;22/07/2025;18:15:00;Shopping Pátio Paulista;-23.570.446.599.451.300;-46.645.645.278.553.600;Android;Realme C35;Sim;16/07/2025;Produto;483.22;restaurante;53;Feminino;;
(11) 94945-4070;22/07/2025;07:00:00;MASP;-23.561.314.972.905.700;-4.665.620.682.542.190;Android;Samsung Galaxy A52;Sim;11/07/2025;Cashback;319.69;móveis;66;Masculino;;
(11) 99266-3128;22/07/2025;07:15:00;Ponto de Ônibus Augusta;-23.558.746.943.911.600;-4.665.937.499.735.770;Android;Realme C35;Não;;;;;47;Masculino;;
(11) 99626-1459;22/07/2025;16:15:00;Metrô Brigadeiro;-23.569.808.736.514.100;-4.664.506.801.397.280;Android;Motorola G60;Sim;30/06/2025;Cashback;137.93;vestuário;48;Feminino;;
(11) 93767-8720;22/07/2025;08:00:00;Metrô Trianon-Masp;-23.564.093.799.185.200;-46.656.948.490.273.600;Android;Motorola G60;Não;;;;;39;Feminino;;
(11) 91584-2028;22/07/2025;08:00:00;Metrô Brigadeiro;-23.570.079.966.401.900;-4.664.549.821.837.340;iPhone;iPhone 12;Sim;16/07/2025;Desconto;296.88;vestuário;41;Feminino;;
(11) 93850-7643;22/07/2025;21:00:00;Metrô Brigadeiro;-23.570.107.109.543.100;-4.664.512.900.723.590;Android;Xiaomi Redmi Note 11;Não;;;;;19;Feminino;;
(71) 99679-9678;22/07/2025;12:00:00;Metrô Trianon-Masp;-2.356.418.466.957.040;-4.665.668.352.496.980;Android;Samsung Galaxy A52;Sim;15/07/2025;Desconto;429.9;outros;47;Outro;;
(11) 96147-5593;22/07/2025;12:00:00;MASP;-23.561.261.674.003.300;-4.665.601.879.602.730;iPhone;iPhone 12;Sim;22/06/2025;Desconto;420.5;outros;17;Masculino;;
(11) 98983-3315;22/07/2025;13:45:00;Esquina Av. Consolação;-23.557.402.242.183.100;-46.659.844.347.797.300;Android;Samsung Galaxy A52;Sim;22/06/2025;Desconto;259.14;outros;38;Feminino;;
(11) 94938-2523;22/07/2025;20:30:00;Shopping Cidade São Paulo;-2.356.292.699.238.880;-4.665.220.504.275.540;iPhone;iPhone 12;Sim;16/07/2025;Produto;439.09;outros;55;Feminino;;
(11) 93223-9136;22/07/2025;12:00:00;Esquina Rua da Paz;-2.356.248.534.246.350;-4.665.021.600.744.270;Android;Samsung S21;Não;;;;;70;Feminino;;
(11) 95162-2118;22/07/2025;17:15:00;Esquina Av. Consolação;-23.557.445.498.046.700;-4.666.007.525.764.530;Android;Samsung S21;Sim;28/06/2025;Cashback;268.37;farmácia;19;Feminino;;
(31) 93002-2474;22/07/2025;17:15:00;Ponto de Ônibus Pamplona;-23.567.224.702.450.100;-4.664.848.174.623.130;iPhone;iPhone 11;Sim;13/07/2025;Desconto;182.4;móveis;48;Feminino;;
(11) 97335-3009;22/07/2025;18:00:00;Metrô Brigadeiro;-23.569.869.993.784.100;-46.644.715.814.331.100;iPhone;iPhone 12;Não;;;;;36;Feminino;;
(11) 99934-7115;22/07/2025;13:45:00;Shopping Pátio Paulista;-2.357.064.547.507.040;-46.645.651.639.244.900;Android;Realme C35;Não;;;;;20;Outro;;
(11) 96453-8930;22/07/2025;20:30:00;Metrô Trianon-Masp;-23.563.663.121.562.300;-4.665.661.675.290.150;iPhone;iPhone 13;Sim;09/07/2025;Cashback;247.8;móveis;68;Feminino;;
(11) 96442-2288;22/07/2025;07:15:00;Metrô Brigadeiro;-23.569.612.972.286.000;-4.664.469.824.197.720;iPhone;iPhone 12;Sim;24/06/2025;Desconto;430.71;vestuário;27;Feminino;;
(11) 97106-8011;22/07/2025;08:45:00;Esquina Rua da Paz;-2.356.261.037.265.380;-4.664.981.824.504.160;Android;Samsung Galaxy A52;Sim;02/07/2025;Cashback;65.46;esportivo;66;Feminino;;
(11) 94629-4291;22/07/2025;20:15:00;Metrô Consolação;-23.555.837.549.758.700;-4.666.121.001.219.510;Android;Samsung Galaxy A52;Sim;25/06/2025;Desconto;347.13;farmácia;18;Masculino;;
(11) 95270-7432;22/07/2025;18:45:00;Ponto de Ônibus Augusta;-2.355.821.127.565.840;-4.665.885.134.152.250;Android;Motorola G60;Sim;09/07/2025;Desconto;308.09;esportivo;21;Masculino;;
(11) 92645-4173;22/07/2025;17:15:00;Metrô Trianon-Masp;-23.563.856.080.462.000;-4.665.680.911.820.010;Android;Samsung S21;Sim;01/07/2025;Produto;397.83;outros;23;Outro;;
(11) 95954-2333;22/07/2025;12:00:00;Esquina Rua da Paz;-23.562.156.490.464.000;-4.665.018.087.623.790;iPhone;iPhone SE;Não;;;;;35;Outro;;
(11) 91573-5304;22/07/2025;19:30:00;Esquina Rua da Paz;-2.356.241.859.342.490;-4.665.014.279.202.600;Android;Samsung S21;Não;;;;;42;Outro;;
(21) 91722-5810;22/07/2025;07:00:00;Ponto de Ônibus Pamplona;-23.567.327.922.473.700;-46.648.150.985.224.600;iPhone;iPhone 13;Sim;08/07/2025;Cashback;378.87;móveis;56;Outro;;
(21) 92502-7465;22/07/2025;08:45:00;Metrô Brigadeiro;-2.356.974.769.140.760;-4.664.493.598.369.780;Android;Samsung Galaxy A52;Sim;25/06/2025;Desconto;469.06;esportivo;35;Outro;;
(11) 92083-9638;22/07/2025;08:45:00;Metrô Brigadeiro;-23.569.860.723.591.100;-46.644.978.907.579.700;iPhone;iPhone SE;Não;;;;;33;Feminino;;
(11) 94673-1993;22/07/2025;18:00:00;Shopping Cidade São Paulo;-2.356.322.414.764.810;-4.665.197.633.019.810;Android;Xiaomi Redmi Note 11;Sim;19/07/2025;Produto;280.91;outros;54;Outro;;
(11) 95478-2856;22/07/2025;21:00:00;Shopping Cidade São Paulo;-23.562.998.205.366.000;-4.665.237.248.163.990;iPhone;iPhone 13;Sim;18/07/2025;Cashback;340.05;mercado express;41;Feminino;;
(11) 95262-2609;22/07/2025;07:00:00;Ponto de Ônibus Pamplona;-23.567.487.920.993.500;-4.664.791.682.192.830;Android;Motorola G60;Sim;03/07/2025;Produto;427.05;vestuário;42;Masculino;;
(11) 97958-3965;22/07/2025;06:45:00;Shopping Pátio Paulista;-2.357.049.456.929.280;-4.664.536.040.974.390;iPhone;iPhone 12;Não;;;;;21;Feminino;;
(31) 94888-4169;22/07/2025;13:45:00;Esquina Rua da Paz;-23.562.615.311.711.400;-4.664.990.528.062.880;Android;Realme C35;Sim;26/06/2025;Desconto;288.22;eletrodoméstico;26;Feminino;;
(21) 98558-7553;22/07/2025;12:00:00;Ponto de Ônibus Augusta;-23.558.624.899.961.100;-46.659.107.062.102.900;Android;Samsung Galaxy A52;Não;;;;;40;Feminino;;
(11) 94204-5298;22/07/2025;14:15:00;Metrô Consolação;-23.555.612.251.589.700;-4.666.179.711.862.020;Android;Motorola G60;Não;;;;;56;Feminino;;
(11) 99829-6087;22/07/2025;13:30:00;Ponto de Ônibus Pamplona;-23.567.738.407.510.900;-4.664.836.295.453.960;iPhone;iPhone 14 Pro;Sim;13/07/2025;Desconto;109.67;farmácia;67;Masculino;;
(11) 94679-9923;22/07/2025;16:00:00;MASP;-23.561.511.637.620.200;-46.655.937.000.106.200;iPhone;iPhone SE;Sim;10/07/2025;Desconto;477.45;farmácia;39;Masculino;;
(11) 91379-2199;22/07/2025;12:45:00;Shopping Cidade São Paulo;-23.563.517.223.092.700;-4.665.255.685.942.610;iPhone;iPhone SE;Não;;;;;55;Outro;;
(11) 92954-5192;22/07/2025;07:15:00;Ponto de Ônibus Augusta;-23.558.455.864.329.200;-4.665.904.671.544.470;iPhone;iPhone SE;Sim;06/07/2025;Cashback;235.86;farmácia;25;Outro;;
(11) 96259-3429;22/07/2025;14:45:00;Metrô Trianon-Masp;-2.356.388.316.488.850;-4.665.684.994.431.230;Android;Xiaomi Redmi Note 11;Sim;30/06/2025;Produto;27.66;esportivo;58;Feminino;;
(11) 96287-6300;22/07/2025;08:30:00;Metrô Consolação;-2.355.580.421.236.230;-4.666.160.870.297.090;Android;Samsung S21;Sim;19/07/2025;Desconto;470;vestuário;30;Outro;;
(11) 96982-6651;22/07/2025;15:45:00;Shopping Pátio Paulista;-2.357.058.982.567.910;-4.664.553.149.833.920;Android;Xiaomi Redmi Note 11;Sim;26/06/2025;Produto;81.13;outros;45;Masculino;;
(11) 98611-2573;22/07/2025;16:45:00;Metrô Brigadeiro;-235.700.551.552.336;-46.644.896.540.770.100;Android;Xiaomi Redmi Note 11;Não;;;;;28;Feminino;;
(11) 98353-3154;22/07/2025;17:30:00;Metrô Trianon-Masp;-2.356.383.717.873.460;-46.656.834.666.668.900;Android;Motorola G60;Não;;;;;56;Outro;;
(31) 99330-9186;22/07/2025;10:30:00;Metrô Brigadeiro;-2.356.975.786.619.770;-46.644.927.524.497.100;Android;Motorola G60;Sim;01/07/2025;Cashback;412.19;farmácia;39;Outro;;
(11) 92820-7940;22/07/2025;12:00:00;Metrô Consolação;-23.555.653.242.621.500;-4.666.161.770.177.190;Android;Realme C35;Sim;19/07/2025;Desconto;12.22;vestuário;47;Outro;;
(11) 98385-3465;22/07/2025;08:15:00;Shopping Pátio Paulista;-2.357.026.534.153.210;-4.664.522.894.250.280;Android;Samsung Galaxy A52;Não;;;;;43;Feminino;;
(11) 95358-7242;22/07/2025;09:00:00;Metrô Consolação;-23.555.645.983.133.100;-4.666.155.521.756.780;Android;Motorola G60;Não;;;;;47;Outro;;
(11) 97714-6600;22/07/2025;07:15:00;Esquina Rua da Paz;-23.562.497.244.154.300;-46.650.262.707.784.700;Android;Xiaomi Redmi Note 11;Não;;;;;22;Masculino;;
(11) 99360-6416;22/07/2025;13:30:00;Shopping Pátio Paulista;-23.570.834.482.735.200;-4.664.588.179.307.960;Android;Xiaomi Redmi Note 11;Sim;29/06/2025;Cashback;485.26;móveis;48;Masculino;;
(11) 97388-6511;22/07/2025;07:45:00;Metrô Consolação;-23.555.717.852.154.800;-4.666.165.654.597.090;Android;Realme C35;Não;;;;;16;Outro;;
(11) 97269-8993;22/07/2025;07:15:00;Ponto de Ônibus Pamplona;-23.567.194.576.699.000;-4.664.900.103.737.570;iPhone;iPhone 11;Não;;;;;40;Feminino;;
(11) 94909-1564;22/07/2025;21:30:00;Ponto de Ônibus Pamplona;-23.567.491.854.533.500;-4.664.841.332.210.220;iPhone;iPhone 12;Sim;05/07/2025;Cashback;223.13;outros;42;Feminino;;
(11) 91574-9079;22/07/2025;12:30:00;Esquina Rua da Paz;-23.562.320.463.264.700;-46.649.971.335.321.000;Android;Samsung Galaxy A52;Não;;;;;58;Masculino;;
(11) 97378-5704;22/07/2025;12:15:00;MASP;-23.561.341.040.946.200;-4.665.584.579.362.150;Android;Xiaomi Redmi Note 11;Não;;;;;62;Feminino;;
(11) 98358-6633;22/07/2025;14:00:00;Metrô Trianon-Masp;-23.563.977.049.542.300;-4.665.667.385.640.190;Android;Samsung Galaxy A52;Sim;27/06/2025;Desconto;62.8;esportivo;48;Outro;;
(11) 99243-5613;22/07/2025;12:00:00;Metrô Trianon-Masp;-2.356.364.176.429.280;-4.665.655.443.109.430;Android;Motorola G60;Sim;23/06/2025;Produto;275.08;eletrodoméstico;64;Feminino;;
(11) 99409-6807;22/07/2025;08:30:00;Metrô Consolação;-23.555.731.522.105.600;-4.666.176.562.489.760;iPhone;iPhone 12;Não;;;;;40;Feminino;;
(11) 97992-8036;22/07/2025;13:45:00;Ponto de Ônibus Augusta;-2.355.856.845.853.250;-4.665.869.797.593;Android;Samsung S21;Sim;28/06/2025;Produto;64.35;mercado express;66;Feminino;;
(11) 98728-7342;22/07/2025;12:30:00;Shopping Cidade São Paulo;-2.356.365.399.517.630;-4.665.229.164.020.550;Android;Samsung Galaxy A52;Sim;16/07/2025;Cashback;232.67;eletrodoméstico;31;Feminino;;
(11) 91693-1043;22/07/2025;12:00:00;Esquina Rua da Paz;-23.562.504.984.575.700;-46.649.899.983.036.500;iPhone;iPhone 14 Pro;Sim;27/06/2025;Produto;278.71;eletrodoméstico;33;Masculino;;
(11) 98976-5546;22/07/2025;06:30:00;Shopping Pátio Paulista;-23.570.495.956.917.300;-4.664.534.783.778.890;iPhone;iPhone 13;Não;;;;;29;Masculino;;
(11) 94724-1170;22/07/2025;10:30:00;Esquina Av. Consolação;-23.557.480.358.770.800;-4.666.001.282.164.570;Android;Xiaomi Redmi Note 11;Não;;;;;23;Outro;;
(71) 95037-7408;22/07/2025;07:30:00;Metrô Consolação;-23.555.580.641.848.700;-46.661.311.433.771.700;Android;Samsung S21;Não;;;;;67;Outro;;
(21) 91203-9291;22/07/2025;15:15:00;Shopping Cidade São Paulo;-23.563.019.630.611.100;-4.665.210.069.124.970;iPhone;iPhone 13;Não;;;;;43;Masculino;;
(61) 94591-5230;22/07/2025;13:45:00;Ponto de Ônibus Augusta;-2.355.854.348.084.640;-4.665.897.491.903.870;iPhone;iPhone 12;Sim;22/06/2025;Produto;22.91;farmácia;48;Outro;;
(11) 97944-9176;22/07/2025;10:15:00;Ponto de Ônibus Pamplona;-2.356.720.285.358.520;-4.664.839.465.770.790;Android;Realme C35;Sim;08/07/2025;Desconto;15.77;móveis;45;Outro;;
(11) 96470-9817;22/07/2025;18:00:00;Metrô Consolação;-23.555.819.405.975.100;-4.666.161.148.988.900;Android;Motorola G60;Sim;29/06/2025;Desconto;91.91;farmácia;23;Feminino;;
(11) 93080-8097;22/07/2025;07:45:00;Metrô Brigadeiro;-2.356.963.056.974.190;-46.644.773.754.597.900;Android;Samsung S21;Sim;09/07/2025;Cashback;205.37;farmácia;25;Outro;;
(11) 92093-1730;22/07/2025;18:00:00;Esquina Av. Consolação;-23.557.668.426.228.300;-4.665.992.748.174.490;Android;Motorola G60;Sim;22/06/2025;Desconto;475.05;farmácia;58;Masculino;;
(11) 95605-4137;22/07/2025;15:45:00;Esquina Rua da Paz;-2.356.250.156.856.850;-4.665.001.310.716.960;Android;Motorola G60;Sim;20/07/2025;Cashback;353.06;esportivo;69;Masculino;;
(11) 99029-7785;22/07/2025;06:15:00;Shopping Pátio Paulista;-23.570.282.938.409.900;-46.645.698.507.627.900;iPhone;iPhone 12;Sim;16/07/2025;Cashback;429.25;móveis;17;Masculino;;
(11) 95333-2580;22/07/2025;11:15:00;Metrô Consolação;-23.555.886.115.420.600;-4.666.178.099.826.080;Android;Samsung Galaxy A52;Sim;11/07/2025;Produto;491.93;farmácia;42;Outro;;
(11) 92130-7503;22/07/2025;13:30:00;Esquina Av. Consolação;-2.355.753.490.938.620;-4.666.014.704.925.370;iPhone;iPhone SE;Sim;28/06/2025;Cashback;43.09;vestuário;61;Feminino;;
(11) 92935-1906;22/07/2025;07:30:00;Metrô Consolação;-23.555.943.956.352.500;-46.661.795.994.025.100;iPhone;iPhone 12;Não;;;;;47;Feminino;;
(11) 96900-8211;22/07/2025;08:45:00;Metrô Brigadeiro;-2.357.000.410.854.080;-466.451.511.664.778;Android;Samsung Galaxy A52;Não;;;;;55;Masculino;;
(11) 96083-1144;22/07/2025;21:00:00;Ponto de Ônibus Pamplona;-23.567.420.189.455.600;-4.664.889.199.650.450;iPhone;iPhone 12;Não;;;;;70;Feminino;;
(11) 97993-9063;22/07/2025;18:45:00;Metrô Consolação;-235.559.113.506.496;-4.666.163.802.598.140;Android;Samsung S21;Não;;;;;43;Outro;;
(11) 97021-3768;22/07/2025;17:30:00;MASP;-23.561.184.275.075.900;-4.665.593.018.540.780;Android;Samsung Galaxy A52;Não;;;;;46;Masculino;;
(11) 99260-2766;22/07/2025;18:15:00;Ponto de Ônibus Augusta;-23.558.530.664.673.500;-4.665.901.758.934.070;Android;Motorola G60;Não;;;;;44;Feminino;;
(11) 99007-4190;22/07/2025;06:30:00;MASP;-23.561.778.737.530.700;-4.665.574.918.137.980;Android;Samsung S21;Não;;;;;16;Masculino;;
(11) 96317-3041;22/07/2025;16:15:00;Metrô Trianon-Masp;-23.563.941.515.685.900;-4.665.650.710.076.810;Android;Xiaomi Redmi Note 11;Sim;28/06/2025;Desconto;252.97;farmácia;53;Masculino;;
(11) 91741-9332;22/07/2025;08:00:00;Shopping Cidade São Paulo;-23.562.655.830.389.300;-466.525.627.043.206;iPhone;iPhone SE;Não;;;;;16;Outro;;
(11) 99454-6520;22/07/2025;11:45:00;Metrô Trianon-Masp;-2.356.436.260.533.290;-4.665.652.882.653.700;Android;Xiaomi Redmi Note 11;Sim;20/07/2025;Produto;84.32;restaurante;70;Outro;;
(11) 91631-2421;22/07/2025;08:15:00;Metrô Trianon-Masp;-23.564.132.497.820.200;-46.656.867.125.650.700;Android;Samsung S21;Não;;;;;44;Masculino;;
(11) 91733-9791;22/07/2025;18:45:00;Ponto de Ônibus Pamplona;-23.567.556.512.493.500;-46.648.623.668.725.000;Android;Samsung Galaxy A52;Não;;;;;62;Masculino;;
(11) 98961-7130;22/07/2025;09:15:00;Shopping Cidade São Paulo;-2.356.281.204.458.640;-466.518.506.375.392;Android;Motorola G60;Sim;13/07/2025;Cashback;205.12;esportivo;66;Feminino;;
(11) 94819-1571;22/07/2025;17:45:00;MASP;-23.561.741.112.258.200;-4.665.617.630.976.260;Android;Realme C35;Sim;27/06/2025;Cashback;494.9;vestuário;21;Outro;;
(11) 99691-8875;22/07/2025;11:45:00;Metrô Consolação;-23.555.922.873.600.900;-4.666.175.590.560.830;Android;Motorola G60;Não;;;;;56;Masculino;;
(11) 99802-7587;22/07/2025;08:00:00;Ponto de Ônibus Augusta;-2.355.865.505.208.930;-46.659.038.846.835.900;Android;Realme C35;Não;;;;;28;Feminino;;
(11) 94223-1469;22/07/2025;08:45:00;Shopping Pátio Paulista;-23.570.638.366.960.100;-4.664.592.172.251.850;Android;Motorola G60;Sim;26/06/2025;Cashback;324.52;outros;19;Masculino;;
(11) 93810-7405;22/07/2025;18:00:00;Ponto de Ônibus Pamplona;-23.567.705.361.648.100;-4.664.819.073.223.350;Android;Realme C35;Não;;;;;41;Outro;;
(11) 96604-9374;22/07/2025;17:00:00;MASP;-23.561.485.489.649.300;-4.665.596.272.617.830;Android;Realme C35;Não;;;;;29;Outro;;
(11) 94810-5650;22/07/2025;13:15:00;Ponto de Ônibus Augusta;-23.558.804.087.429.100;-4.665.909.264.334.540;Android;Samsung Galaxy A52;Não;;;;;40;Outro;;
(11) 97074-7347;22/07/2025;08:15:00;Shopping Pátio Paulista;-23.570.356.819.514.000;-4.664.553.188.970.430;Android;Samsung S21;Sim;10/07/2025;Desconto;230.39;mercado express;23;Masculino;;
(11) 92820-3600;22/07/2025;12:30:00;Ponto de Ônibus Pamplona;-23.567.337.780.140.400;-46.648.740.719.415.200;iPhone;iPhone SE;Não;;;;;58;Feminino;;
(11) 96015-6927;22/07/2025;17:00:00;Shopping Pátio Paulista;-2.357.079.292.353.660;-4.664.542.431.285.550;Android;Xiaomi Redmi Note 11;Sim;12/07/2025;Cashback;431.01;vestuário;40;Feminino;;
(11) 94449-4347;22/07/2025;07:45:00;Ponto de Ônibus Pamplona;-23.567.334.745.172.000;-4.664.855.169.255.230;Android;Motorola G60;Não;;;;;45;Masculino;;
(11) 99537-2631;22/07/2025;07:45:00;Shopping Cidade São Paulo;-2.356.298.639.194.630;-4.665.254.359.927.440;iPhone;iPhone 12;Não;;;;;36;Feminino;;
(71) 96670-1493;22/07/2025;07:00:00;Shopping Cidade São Paulo;-2.356.340.589.362.150;-466.526.264.922.305;Android;Realme C35;Sim;06/07/2025;Cashback;364.19;restaurante;32;Outro;;
(11) 96129-8326;22/07/2025;07:15:00;Metrô Trianon-Masp;-235.639.927.059.134;-4.665.662.665.642.510;iPhone;iPhone 12;Sim;23/06/2025;Desconto;14.59;esportivo;28;Feminino;;
(11) 94816-3721;22/07/2025;18:30:00;Esquina Av. Consolação;-23.557.604.483.304.000;-4.666.015.607.852.190;Android;Realme C35;Sim;09/07/2025;Cashback;229.27;móveis;59;Masculino;;
(11) 91519-7082;22/07/2025;17:30:00;MASP;-23.560.931.090.279.200;-4.665.593.282.619.870;Android;Realme C35;Não;;;;;17;Feminino;;
(11) 94514-1086;22/07/2025;10:15:00;Shopping Pátio Paulista;-23.570.271.386.597.000;-4.664.568.026.968.680;Android;Samsung Galaxy A52;Sim;13/07/2025;Desconto;315.91;mercado express;23;Outro;;
(11) 97400-3192;22/07/2025;13:15:00;Ponto de Ônibus Augusta;-23.558.600.142.541.500;-4.665.871.666.809.800;Android;Motorola G60;Não;;;;;59;Masculino;;
(11) 97232-9556;22/07/2025;18:30:00;Shopping Pátio Paulista;-23.570.391.007.175.900;-466.456.558.218.046;Android;Samsung Galaxy A52;Não;;;;;42;Feminino;;
(31) 92013-9032;22/07/2025;13:00:00;Ponto de Ônibus Pamplona;-2.356.727.325.717.760;-46.647.995.938.696.700;iPhone;iPhone 11;Não;;;;;39;Feminino;;
(11) 98350-6208;22/07/2025;08:45:00;MASP;-23.561.560.470.673.300;-4.665.578.665.267.060;iPhone;iPhone 13;Sim;07/07/2025;Cashback;82.01;mercado express;62;Masculino;;
(11) 96466-1429;22/07/2025;11:15:00;Metrô Brigadeiro;-2.356.991.984.203.270;-46.645.185.908.204.100;Android;Xiaomi Redmi Note 11;Sim;27/06/2025;Desconto;244.57;vestuário;22;Outro;;
(11) 96016-6381;22/07/2025;17:30:00;Metrô Trianon-Masp;-2.356.425.745.335.720;-46.656.351.533.370.700;Android;Motorola G60;Não;;;;;27;Masculino;;
(11) 99422-3583;22/07/2025;13:00:00;Esquina Rua da Paz;-23.562.864.952.121.400;-466.498.984.281.283;Android;Xiaomi Redmi Note 11;Sim;26/06/2025;Produto;220.08;eletrodoméstico;22;Outro;;
(11) 99908-3311;22/07/2025;07:45:00;Metrô Brigadeiro;-23.570.003.048.615.500;-4.664.464.450.100.960;Android;Motorola G60;Não;;;;;47;Outro;;
(11) 96285-2858;22/07/2025;10:30:00;Esquina Rua da Paz;-23.562.554.615.329.700;-46.650.072.801.534.600;iPhone;iPhone 11;Sim;04/07/2025;Cashback;48.5;vestuário;62;Outro;;
(11) 91274-7117;22/07/2025;18:15:00;MASP;-235.611.000.981.391;-4.665.570.563.998.350;iPhone;iPhone 14 Pro;Sim;12/07/2025;Produto;333.09;esportivo;31;Outro;;
(11) 92921-6314;22/07/2025;07:00:00;Metrô Consolação;-23.555.660.154.603.100;-46.661.456.837.608.800;Android;Realme C35;Sim;20/07/2025;Produto;238.95;vestuário;38;Masculino;;
(11) 98630-9108;22/07/2025;18:30:00;Shopping Cidade São Paulo;-23.563.373.654.717.700;-466.521.546.573.589;Android;Motorola G60;Não;;;;;55;Feminino;;
(11) 96853-2662;22/07/2025;21:00:00;Ponto de Ônibus Pamplona;-23.567.539.810.842.800;-4.664.842.781.506.010;Android;Realme C35;Sim;06/07/2025;Desconto;304.62;mercado express;45;Feminino;;
(11) 99762-2718;22/07/2025;12:00:00;Esquina Av. Consolação;-2.355.740.308.941.470;-46.660.222.101.816.600;Android;Motorola G60;Sim;05/07/2025;Cashback;456.8;outros;35;Feminino;;
